link,category,class,subclass,text
https://www.youtube.com/@HMBB8888/videos,影视,,,"饱饱追剧 
短剧整合"
https://www.youtube.com/@Superman049,游戏实况,格斗,mk,super
https://www.youtube.com/@godsteammate/videos,有益,时政点评,单口,"台湾 查理 
右派自由"
https://www.youtube.com/@rusiru87time/videos,新游试玩,,,"阿路的精神時光屋 
40min一款"
https://www.youtube.com/@pfytw/videos,游戏实况,完整,,"狐狸头🦊 
经常开新游新坑"
https://www.youtube.com/@cherry_official/videos,悠闲轻松,测评,,"大狸子切切里 
科技测评"
https://www.youtube.com/@miaoxinGG/videos,游戏实况,杂,,"喵心GG 
(啥都有 七日杀类多一些)"
https://www.youtube.com/@%E4%B8%AD%E6%8C%87%E9%80%9A/videos,hehe,,,中指通
https://www.youtube.com/@shenchuochuo/videos,新游试玩,恐怖猎奇,,神戳戳的苏神
https://www.youtube.com/@Iorimoe-tanoshi,hehe,美女,,伊織萌
https://www.youtube.com/@fallontonight/videos,有益,访谈,,"The Tonight Show jimmy 
都是短的"
https://www.youtube.com/@StarDanceShop/videos,有益,国标,,中国国标搬运
https://www.youtube.com/@LondonRealTV/videos,有益,访谈,,科技类 10min左右
https://www.youtube.com/@jubilee/videos,有益,访谈,,大讨论 围圆圈坐一起
https://www.youtube.com/@kurzgesagt/videos,有益,科普,,画风可爱 各类科普
https://www.youtube.com/@tested/videos,有益,工科,机械,手工老头
https://www.youtube.com/@EgilsSmagris,有益,国标,教学,国标 欧洲老头
https://www.youtube.com/@DanceToday/videos,有益,国标,教学,国标 拉丁 专业赛事
https://www.youtube.com/@tree2793/videos,漫画/小说,恐怖猎奇,,黑白漫画解说
https://www.youtube.com/@TheKingofRandom/videos,有益,工科,,diy project + 实验
https://www.youtube.com/@numberphile/videos,有益,理科,数学,"Numberphile 
15min 数学 "
https://www.youtube.com/@StealthyChannel/videos,游戏实况,完整,,完美蝙蝠侠
https://www.youtube.com/@NecrosOW/videos,游戏实况,第三人称射击,,"Necros
漫威争锋 蜘蛛侠"
https://www.youtube.com/@SonicFox5000/videos,游戏实况,格斗,mk,"SonicFox
电竞高手"
https://www.youtube.com/@DanceInsanity/videos,有益,国标,,"拉丁 couple
创意多变basic"
https://www.youtube.com/@Eunjipyo,hehe,美女,,표은지Eunji
https://www.youtube.com/@EugeneKhutoryansky/videos,有益,理科,,3d 动画! 物理
https://www.youtube.com/@SCP/videos,scp/怪谈,,,类火柴人可爱画风
 https://www.youtube.com/@BBKNetwork/videos,有益,文科,哲学,"马来西亚  辩论辩题
30-50min 左右"
https://www.youtube.com/@AshanKouki/videos,游戏实况,杂,,悠闲 + 恐怖(小小梦魇)
https://www.youtube.com/@miaodong/videos,有益,科普,,短视频 深入浅出!
https://www.youtube.com/@3blue1brown/videos,有益,理科,数学,"3b1b 
youtube"
https://www.youtube.com/@bobafett22005/videos,影视,定格动画,机器鸡,各类合订本
https://www.youtube.com/@panscischool/videos,有益,AI,,资讯+ 教程
https://www.youtube.com/@HungyiLeeNTU/videos,有益,AI,课程,李宏毅
https://www.youtube.com/@PezzzasWork/videos,悠闲轻松,AI,训练,"Pezzza's Work
物理模拟类"
https://www.youtube.com/@Tim-Huang91/videos,hehe,攻略,,小黃Tim-Huang
https://www.youtube.com/@xnzxnz/videos,悠闲轻松,测评,,"小宁子
科技设备 + 游戏"
https://www.youtube.com/@modernfoos/videos,体育赛事,,,桌上足球
https://www.youtube.com/@4K%E6%9E%81%E9%99%90%E7%94%BB%E8%B4%A8/videos,影视,画质,战锤 / 其他游戏动画,4k 剧情
https://www.youtube.com/@DungeonSoup,影视,恐怖猎奇,,掉san画风 二次元
https://www.youtube.com/@RelaxationFilm,专注音乐/视频当背景版,画质,,4k 自然风景
https://www.youtube.com/@8KWorld/videos,影视,画质,,8k 城市
https://www.youtube.com/@4kfilmsbyadnan/videos,专注音乐/视频当背景版,画质,,4k 城市
https://www.youtube.com/@PartiallyRoyal/videos,游戏实况,画质,生存类,PartiallyRoyal
https://www.youtube.com/@theRadBrad/videos,游戏实况,画质,3a大作,theRadBrad
https://space.bilibili.com/266765166,有益,理科,,"漫士沉思录
生动的动画 数学、物理、计算机"
https://www.youtube.com/@Yuniko0720VOD/videos,游戏实况,杂,,小熊Yuniko
https://www.youtube.com/@DanceTech-Learn-Review,有益,国标,,中国国标搬运2
https://www.youtube.com/@rlboothco/videos,有益,国标,,"Richard Booth
比赛标准routine"
https://www.youtube.com/@pua7194/videos,hehe,技巧,,"7年前
泡学"
https://www.youtube.com/@Mathologer/videos,有益,理科,数学,墨尔本莫纳什大学数学教授
https://www.youtube.com/@AllXEnglish/videos,有益,英语,,"AllXEnglish
辩论 / 演讲 切片"
https://www.youtube.com/@KWONEUNBI/videos,hehe,美女,,권은비 KWON EUNBI
https://space.bilibili.com/381678450,漫画/小说,动态,,"大冰动态漫
停更"
https://space.bilibili.com/50001728/upload/video,游戏实况,火影手游,,赵小天
https://space.bilibili.com/1550137https://space.bilibili.com/6888296/upload/video,游戏综合,整活,火影手游/究极风暴,新技能 / 各类人物xxx场景
https://www.youtube.com/@Prof.Terraria/videos,游戏实况,完整,泰拉瑞亚,A教授
https://space.bilibili.com/72261633/lists/937981?type=season,游戏实况,完整,单独合集,"饥饿与恐惧
黑暗世界 断肢系统 绝望"
https://www.youtube.com/@BrickTechnology/videos,有益,工科,机械,乐高
https://www.bilibili.com/video/BV1kx411E7b8/?vd_source=15173c99aced81f348af55708bc963e3,影视,长剧情游戏,感人,去月球 to the moon
https://www.youtube.com/@Kastaclysm/videos,游戏实况,完整,美女,偏剧情向 3a
https://space.bilibili.com/25971006,专注音乐/视频当背景版,,,高质量写实动漫
https://space.bilibili.com/1543323047/upload/video,悠闲轻松,电子榨菜,躲猫猫,躲猫猫 搬运切片
https://space.bilibili.com/8012953/upload/video,游戏实况,完整,,"古风/仙侠/武侠
经常开新游新坑"
https://www.youtube.com/watch?v=OinC_Mrn5Rc,影视,电影,,《艾爾登法環》電影版
https://space.bilibili.com/72261633/lists/937981?type=season,游戏实况,完整,单独合集,饥饿与恐惧2
https://www.bilibili.com/video/BV1e84y1M7dp/?vd_source=15173c99aced81f348af55708bc963e3,游戏实况,完整,单独合集,密教模拟器
https://www.bilibili.com/video/BV14s411N7hx/?vd_source=15173c99aced81f348af55708bc963e3,影视,长剧情游戏,感人,《Finding Paradise》寻找天堂
https://www.bilibili.com/video/BV1xT4y1f7zz/?vd_source=15173c99aced81f348af55708bc963e3,影视,长剧情游戏,感人,《影子工厂》《Impostor Factory》
https://www.youtube.com/@thefoosterchannel/videos,游戏实况,画质,,"Fooster
恐怖 / 生存 / 多人"
https://www.youtube.com/@ChampsNetwork/videos,游戏实况,画质,,"各类切片
15min- 2hr 不等"
https://www.youtube.com/@Shirrako/videos,游戏实况,画质,完整,"Shirrako
全是 10hr+"
https://www.youtube.com/@Alex%E7%BE%8E%E9%A3%9F%E5%AE%B6/videos,悠闲轻松,吃播,,牛排🥩
https://www.youtube.com/@CadenceGao/videos,悠闲轻松,厨艺,,"米其林
厨艺知识"
https://space.bilibili.com/57214324,悠闲轻松,抽象,,"小芃路子野
3d 格斗 孙悟空"
https://www.youtube.com/@CTWANT/videos,hehe,,,台媒
https://space.bilibili.com/263190927/upload/video,影视,定格动画,机器鸡,最全合集
https://www.instagram.com/robotchicken/,影视,定格动画,机器鸡,ins 个人
https://space.bilibili.com/483759141,影视,定格动画,机器鸡,合集 短
https://www.youtube.com/@MissMikkaa/videos,游戏实况,美女,,MissMikkaa
https://space.bilibili.com/90361813/upload/video,悠闲轻松,抽象,,"三十六贱笑
热梗"
https://www.youtube.com/@thefrencheagle_fps/videos,游戏实况,完整,单独合集,人和怪兽对战!
https://space.bilibili.com/5294454,悠闲轻松,抽象,,逗比的雀巢
https://www.youtube.com/@mediastorm6801/videos,悠闲轻松,画质,,影视飓风
https://www.youtube.com/playlist?list=PL_YoTN8gmON7KxUM26nmYwAoqP95c4Xuh,游戏综合,,,怪物猎人 怪物介绍
https://www.youtube.com/@amuxi/videos,新游试玩,,,"阿姆西
1hr左右"
https://www.bilibili.com/video/BV1rY4y1R7p4/?vd_source=15173c99aced81f348af55708bc963e3,有益,权术/勾心斗角,,特朗普职场综艺
https://space.bilibili.com/487511093,信息源,,,"Youtube精选
短, 1min - 20min"
https://space.bilibili.com/1457219856,信息源,,,"Youtube精选
长, 1hr"
https://www.youtube.com/@LifeOfRiza/videos,专注音乐/视频当背景版,画质,,"vlog 
女生 电影感"
https://space.bilibili.com/256724889,信息源,,,"15min 优质
外国信息源"
https://www.instagram.com/alexlin496/saved/todo/18041582176536495/,信息源,,,ins todo!!
https://space.bilibili.com/1263732318,信息源,,,"杂
黑纹白斑马
赛博普罗米修斯"
https://www.youtube.com/playlist?list=PLG80GYpYYdXPHunXnL6-MWyweYdn-2RVc,有益,权术/勾心斗角,,"大明王朝
全集解析"
https://space.bilibili.com/2138402997,有益,理科,数学,"中国 3b1b
machine learning 类"
https://www.youtube.com/@DanielDumbrill/videos,有益,访谈,,英文评论中国
https://www.youtube.com/@Reducible/videos,有益,理科,,"Reducible
machine leanring  紫色可视化"
https://www.youtube.com/@pbsinfiniteseries/playlists,有益,理科,,"停更 精良!
密码学/图论/概率等"
https://space.bilibili.com/88461692,有益,,,"3b1b 
b站双语"
https://space.bilibili.com/187869468,有益,科普,,"奇点迫近
有趣的科普"
https://space.bilibili.com/14583962,有益,文科,,思维实验室
https://space.bilibili.com/12383027,有益,厨艺,,"Tiger 烹饪科学
10min左右"
https://space.bilibili.com/22245854,有益,科普,,"贰鼠 有趣搬运
1-5min"
https://www.youtube.com/@veritasium/videos,有益,科普,画质,Veritasium 真理元素
https://space.bilibili.com/20050011,有益,理科,,"江城kaya
手绘艺术画风"
https://space.bilibili.com/230983435,信息源,,,"实用 重要
自我提升"
https://space.bilibili.com/121274091/upload/video,游戏综合,僵毁,,"猫鲨
更新介绍 短视频"
https://space.bilibili.com/396689329,scp/怪谈,,,克系电影
https://www.youtube.com/@cheru/videos,游戏实况,杂,,血腥暴力类
https://space.bilibili.com/3494350673677173,游戏实况,格斗,mk,"动作解说!!!
招式名称"
https://space.bilibili.com/346168737https://space.bilibili.com/6888296/upload/video,游戏综合,mod,,"mk 皮肤mod
实战演示"
https://www.youtube.com/@MaiKeOfficial/videos,游戏实况,第三人称射击,,狙击手麦克
https://www.youtube.com/playlist?list=PLJ02IXNqrY5WTqNeEFhoMkklFoB0L6eR1,游戏综合,,,"漫威争锋 实战/资讯
15mins"
https://www.youtube.com/@markiplier/videos,游戏实况,完整,,"恐怖类 大作
很多+露脸反应"
https://space.bilibili.com/540564177/upload/video,音乐区,,,"jason 老湿
教学+演唱 + 鉴赏"
https://www.youtube.com/@CJRGaming95/videos,游戏综合,,,"mk + 漫威争锋
处决 / 新皮肤"
https://space.bilibili.com/6888296/upload/video,游戏实况,杂,,"恐怖类 解说不错
30min以下"
https://space.bilibili.com/39846961/upload/video,游戏实况,肉鸽,,新游试玩+土豆兄弟
https://space.bilibili.com/25151282/upload/video,新游试玩,杂,,"弗兰力 
30-40min"
https://space.bilibili.com/28860267/upload/video,游戏实况,以撒,,我是谁压实度
https://space.bilibili.com/2142762/lists,游戏实况,完整,,"老戴在此
全是大部头!"
https://space.bilibili.com/2019740/upload/video,新游试玩,杂,,"逆风笑 
30min"
https://space.bilibili.com/606264213/upload/video,游戏实况,泰拉瑞亚,,"嘿蟹 挑战
材质包福瑞"
https://www.youtube.com/@NextGenPlayz1/videos,游戏实况,画质,,"各类切片2
20min"
https://www.youtube.com/DrewDirksen/videos,悠闲轻松,,,Drew Dirksen
https://space.bilibili.com/3546738879105651,悠闲轻松,综艺,,"综艺
游戏进入现实"
https://space.bilibili.com/174902557/upload/video,悠闲轻松,电子榨菜,,没啥用科技
https://www.youtube.com/@NatetheHoofGuy/videos,悠闲轻松,电子榨菜,,修牛蹄
https://www.youtube.com/@TheHoofGP/videos,悠闲轻松,电子榨菜,,修牛蹄2
https://www.youtube.com/@Neurosama/videos,悠闲轻松,,,"人工智能虚拟主播
牛肉大人"
https://www.youtube.com/@mediastorm6801/videos,信息源,画质,,影视飓风 2
https://space.bilibili.com/3546729368520811,悠闲轻松,,,"牛肉大人
搬运/切片"
https://www.youtube.com/@Treyten./videos,游戏综合,整活,,gta 5
https://www.youtube.com/@ilikehome/videos,悠闲轻松,电子榨菜,,定格动画 食物
https://space.bilibili.com/3546376524794441,悠闲轻松,欢乐,,"搞笑玩游戏
5-10min"
https://space.bilibili.com/3546614316665044,游戏实况,,,"植物大战僵尸
废物版 介绍+实战"
https://space.bilibili.com/474853499/upload/video,悠闲轻松,,,李如儒也是李蠕蠕
https://space.bilibili.com/8366990/upload/video,悠闲轻松,米米米,,欣小萌
https://www.youtube.com/@BlackBeetleKing/playlists,游戏综合,mod,,"究极风暴
新 自定义人物"
https://www.youtube.com/@MangoGamesOL/videos,游戏综合,,,氪金
https://www.youtube.com/@Goat-on-a-Stick/videos,影视,抽象,,goat on a stick
https://jaime-r.newgrounds.com/,影视,san,,血肉画风
https://space.bilibili.com/3546923095034253,影视,san,,Frame Order 中文
https://www.youtube.com/@frameorder/videos,影视,san,,"Frame Order
官方"
https://www.instagram.com/vfuho_,影视,定格动画,,装修 建造
https://space.bilibili.com/5024187,影视,美漫,,"恶搞之家
龙三条"
https://space.bilibili.com/6511839,影视,美漫,,"恶搞之家
派豆龍"
https://www.youtube.com/@MythicalWater/videos,影视,短视频,,MythicalWater
https://space.bilibili.com/328726691,影视,电影,原片,"东方不战   自制!
丧尸/怪谈"
https://www.youtube.com/@JSG009/videos,影视,电影,解说,"惊悚哥的粉丝窝
15min 悬疑惊悚"
https://www.youtube.com/@LCMhistory/videos,影视,定格动画,,乐高 现代战争
https://www.bilibili.com/video/BV1dT2FB6Eha/?vd_source=15173c99aced81f348af55708bc963e3,影视,电影,原片+解析,"经典电影(都好看!) 
右边有详细分类"
https://space.bilibili.com/473637293/lists/25719?type=season,影视,短视频,,"怪兽怪物 
剪切"
https://space.bilibili.com/473637293/lists/156015?type=season,影视,短视频,,"科幻机甲
剪切"
https://space.bilibili.com/942755/lists/210614?type=season,影视,电影,解说,万字拆解 详细解说
https://space.bilibili.com/3493261563923106,游戏实况,美女,声控,一只小尾巴
https://space.bilibili.com/162941802https://space.bilibili.com/6888296/upload/video,游戏实况,以撒,,"高手 玩mod
没有ide介绍"
https://space.bilibili.com/384080078,游戏实况,完整,,"僵毁 很多开荒合集
有趣 背景 "
https://www.youtube.com/@userlinxiaotian/playlists,游戏实况,完整,画质,"林小天
末日生存类"
https://www.youtube.com/@fairTX/videos,游戏实况,完整,画质,"第三人称射击
制作精良"
https://www.youtube.com/watch?v=eSAriznl_ZM,游戏实况,完整,单独合集,"逃离科塔夫
11hr"
https://space.bilibili.com/423895/upload/video,游戏实况,杂,,"怕上火暴王老菊
好笑 魂系 3a"
https://space.bilibili.com/35734399/upload/video,游戏实况,MC,,"小橙子 
声音好听"
https://space.bilibili.com/70666/lists/3942970?type=season,游戏实况,完整,单独合集,癫狂动物园
https://space.bilibili.com/70666/lists,游戏实况,完整,,"舍长 杂
恐怖 / 3a"
https://space.bilibili.com/6639802/upload/video,游戏实况,以撒,,"陈哥 最牛
主页"
https://space.bilibili.com/6639802/lists/1748058?type=season,游戏实况,以撒,,"陈哥
毒种系列"
https://space.bilibili.com/509034027,新游试玩,,,"辣椒不辣斯基
5min"
https://space.bilibili.com/70666/upload/video,新游试玩,,https://www.bilibili.com/video/BV19YUsB2EY9/,"舍长 精良!
40min-1hr"
https://www.youtube.com/playlist?list=PL_YoTN8gmON5cu-SN8YkGjvmELqMSaz6W,scp/怪谈,,,"scp 介绍
画面精良电影"
https://space.bilibili.com/446375727/lists?sid=4251950,scp/怪谈,,,"哆啦A梦怪谈
合集"
https://space.bilibili.com/19792237https://space.bilibili.com/6888296/upload/video,游戏综合,整活,,"像素类 
杂"
https://space.bilibili.com/10558098https://space.bilibili.com/6888296/upload/video,游戏综合,整活,,"黑镖客梦回
杂"
https://space.bilibili.com/286508081https://space.bilibili.com/6888296/upload/video,游戏综合,整活,,大头贝奇
https://space.bilibili.com/4401694,有益,理科,,林亦LYi
https://space.bilibili.com/344849038/dynamic,有益,理科,学习观,YJango
https://www.youtube.com/@WoYaoDangGuan/videos,有益,时政点评,,官场
https://space.bilibili.com/46405906,有益,理科,,像素学金融
https://www.modevol.com/,有益,理科,学习观,YJango门户网站
https://space.bilibili.com/26079128/upload/video,有益,理科,,"一席
30min"
https://www.youtube.com/@leonard2834/videos,有益,时政点评,,"Leonard
新闻类"
https://www.youtube.com/@caichangzhu/videos,有益,时政点评,单口,"菜场主
数学 "
https://www.youtube.com/@%E6%96%B0%E5%AE%98%E5%9C%BA,有益,时政点评,,新官场
https://www.youtube.com/@james-kool/videos,有益,理科,码农,"james 工程师
单口"
https://www.youtube.com/playlist?list=PLj61SPm9M9LYsWncyD7HxU_PAwyq3ZCSs,有益,文科,哲学,"解释鸿沟  陈家瑛
BBC纪录片"
https://space.bilibili.com/30646569/upload/video,有益,文科,哲学,华语辩坛老友赛
https://www.bilibili.com/video/BV1vZ421v7Su/?vd_source=15173c99aced81f348af55708bc963e3,有益,文科,哲学,哲理辩合集
https://space.bilibili.com/17004561,有益,文科,历史,"战争类
电影剪辑介绍"
https://space.bilibili.com/23601576/lists/2441951?type=season,有益,权术/勾心斗角,,大明王朝
https://space.bilibili.com/99827844/upload/video,悠闲轻松,电子榨菜,电子斗蛐蛐,"肥格Fager
魂类"
https://space.bilibili.com/489525033/upload/video,游戏综合,,,"以撒 综合
爽局/冷知识/更新"
https://space.bilibili.com/3461581568477680,专注音乐/视频当背景版,,,贪婪你的存在
https://space.bilibili.com/3493140602292760,专注音乐/视频当背景版,,,宫崎骏 音乐
https://www.youtube.com/@CadenceGao/videos ,有益,厨艺,,"米其林
厨艺知识"
https://space.bilibili.com/12383027 ,悠闲轻松,厨艺,,"Tiger 烹饪科学
10min左右"
https://space.bilibili.com/21950148,有益,厨艺,,"杨光建厨师
烹饪技巧"
https://space.bilibili.com/230983435 ,有益,,,"实用 重要
自我提升"
https://www.youtube.com/@XiaoBeiOfficial/videos,游戏综合,,,"小贝的游戏食堂
吃鸡类 好玩活动"
https://space.bilibili.com/28266043/upload/video,游戏综合,,,"附魔星
游戏资讯"
https://space.bilibili.com/2075535/upload/video,游戏综合,mod,,"岛主
泰拉瑞亚mod制作者"
https://space.bilibili.com/3493264516712760/upload/video,游戏实况,格斗,,"黑神话 高手
5min"
https://space.bilibili.com/286508081/upload/video,游戏综合,整活,,黑神话mod
https://www.youtube.com/@fairTX/videos,游戏实况,第三人称射击,,"第三人称射击
制作精良 画质"
https://space.bilibili.com/39846961/upload/video,新游试玩,,,"新游试玩 45min
土豆兄弟实况+新东西"
https://space.bilibili.com/43565879/upload/video,游戏实况,泰拉瑞亚,,"克总来了
mod 开荒"
https://www.youtube.com/@C-gb9sc/videos,游戏实况,完整,,scum 人渣
https://space.bilibili.com/433523663/upload/video,新游试玩,杂,,"你的隔壁老盲 
40min-1hr"
